"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"T204.PL2.rpoB" "T64" "SBL-04-04-C" "SBL" "4" "4" "Abies_balsamea" "C" "43297" "Emilie" "43298" "Phosphate" "1" "4" "16" "SBL-43298-1" "Batch_03" "T64.PL2.rpoB" "PL_05" "rpoB-PL2" "S521" "N726"
"T209.PL2.rpoB" "T209" "MSH-05-07-C" "MSH" "5" "7" "Ostria_virginiana" "C" "43318" "JBL" "43320" "Phosphate" "3" "12" "53" "MSH-43320-3" "Batch_09" "T209.PL2.rpoB" "PL_02" "rpoB-PL2" "S515" "N729"
"T210.PL2.rpoB" "T124" "MSH-01-04-A" "MSH" "1" "4" "Acer_saccharum" "A" "43278" "JBL" "43279" "Phosphate" "1" "15" "14" "MSH-43279-1" "Batch_06" "T124.PL2.rpoB" "PL_05" "rpoB-PL2" "S518" "N729"
"T211.PL2.rpoB" "T152" "SBL-03-03-E" "SBL" "3" "3" "Abies_balsamea" "E" "43328" "JBL" "43329" "Phosphate" "2" "6" "39" "SBL-43329-2" "Batch_07" "T152.PL2.rpoB" "PL_02" "rpoB-PL2" "S522" "N728"
"T214.PL2.rpoB" "T183" "MSH-01-03-D" "MSH" "1" "3" "Acer_saccharum" "D" "43318" "JBL" "43319" "Phosphate" "2" "12" "33" "MSH-43319-2" "Batch_08" "T183.PL2.rpoB" "PL_02" "rpoB-PL2" "S518" "N728"
"T220.PL2.rpoB" "T161" "MSH-04-01-E" "MSH" "4" "1" "Ostria_virginiana" "E" "43350" "JBL" "43351" "Phosphate" "3" "10" "58" "MSH-43351-3" "Batch_07" "T161.PL2.rpoB" "PL_02" "rpoB-PL2" "S516" "N727"
"T222.PL2.rpoB" "T18" "MSH-03-01-E" "MSH" "3" "1" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "2" "10" "39" "MSH-43351-2" "Batch_01a" "T18.PL2.rpoB" "PL_02" "rpoB-PL2" "S520" "N727"
"T225.PL2.rpoB" "T225" "SBL-04-10-C" "SBL" "4" "10" "Abies_balsamea" "C" "43297" "Emilie" "43298" "Phosphate" "1" "4" "20" "SBL-43298-1" "Batch_10" "T225.PL2.rpoB" "PL_02" "rpoB-PL2" "S513" "N728"
"T230.PL2.rpoB" "T44" "SBL-01-03-C" "SBL" "1" "3" "Acer_rubrum" "C" "43297" "Emilie" "43298" "Phosphate" "2" "4" "22" "SBL-43298-2" "Batch_02" "T44.PL2.rpoB" "PL_05" "rpoB-PL2" "S521" "N727"
"T23.PL2.rpoB" "T23" "SBL-02-01-D" "SBL" "2" "1" "Acer_pennsylcanicum" "D" "43297" "Emilie" "43298" "Phosphate" "1" "4" "05" "SBL-43298-1" "Batch_01b" "T23.PL2.rpoB" "PL_02" "rpoB-PL2" "S513" "N724"
