"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"502" 100 100 100 97 49 30 27
"503" 100 100 100 100 75 75 65
"504" 100 100 100 100 89 89 20
"505" 100 100 100 95 60 30 16
"506" 100 100 100 100 100 94 85
"507" 100 100 100 92 29 12 9
"508" 100 100 100 89 53 21 16
"509" 100 100 100 96 86 83 44
"510" 100 100 100 60 60 21 18
"511" 100 100 100 99 80 79 26
"512" 100 100 100 99 89 89 79
"513" 100 100 100 97 90 69 7
"514" 100 100 100 70 70 44 17
"515" 100 100 100 94 94 56 31
"516" 100 100 100 93 91 57 50
"517" 100 100 100 85 85 44 19
"518" 100 100 100 88 87 51 39
"519" 100 100 100 91 38 38 15
"520" 100 100 100 94 38 34 11
"521" 100 100 100 100 100 100 95
"522" 100 100 100 80 20 12 12
"523" 100 100 100 73 37 31 10
"524" 100 100 100 88 60 47 47
"525" 100 100 100 100 100 100 100
"526" 100 100 100 100 94 94 87
"527" 100 100 100 90 59 57 27
"528" 100 100 100 86 86 44 21
"529" 100 100 100 95 78 71 37
"530" 100 100 100 87 84 42 17
"531" 100 100 100 53 24 12 12
"532" 100 100 100 71 30 28 9
"533" 100 100 100 93 81 64 18
"534" 100 100 100 99 94 94 83
"535" 100 100 100 84 82 58 25
"536" 100 100 100 97 71 66 21
"537" 100 100 100 100 100 98 96
"538" 100 100 100 99 96 96 79
"539" 100 100 100 84 83 28 21
"540" 100 100 100 98 87 87 77
"541" 100 100 100 99 99 89 55
"542" 100 100 100 66 34 27 8
"543" 100 100 100 69 19 19 8
"544" 100 100 100 99 58 57 16
"545" 100 100 100 59 59 30 17
"546" 100 100 100 89 28 24 10
"547" 100 100 100 87 74 40 23
"548" 100 100 100 60 17 9 2
"549" 100 100 100 91 40 38 16
"550" 100 100 100 98 95 95 82
"551" 100 100 100 92 21 21 21
"552" 100 100 100 100 100 100 100
"553" 100 100 100 98 57 56 17
"554" 100 100 100 86 15 12 3
"555" 100 100 100 100 81 81 78
"556" 100 100 100 72 24 24 6
"557" 100 100 100 94 68 68 24
"558" 100 100 100 82 16 14 14
"559" 100 100 100 96 76 73 27
"560" 100 100 100 92 57 26 11
"561" 100 100 100 68 68 26 13
"562" 100 100 100 100 100 100 92
"563" 100 100 100 91 60 58 15
"564" 100 100 100 100 100 100 100
"565" 100 100 100 86 36 31 18
"566" 100 100 100 91 23 16 15
"567" 100 100 100 87 40 34 11
"568" 100 100 100 92 68 65 21
"569" 100 100 100 100 100 100 94
"570" 100 100 100 100 96 74 8
"571" 100 100 100 100 100 100 100
"572" 100 100 100 87 23 12 5
"573" 100 100 100 95 31 8 3
"574" 100 100 100 100 99 99 99
"575" 100 100 100 76 17 14 10
"576" 100 100 100 67 24 22 20
"577" 100 100 100 100 100 100 100
"578" 100 100 100 100 100 100 74
"579" 100 100 100 67 44 13 13
"580" 100 100 100 94 75 71 39
"581" 100 100 100 78 21 21 16
"582" 100 100 100 98 95 92 22
"583" 100 100 100 91 23 23 21
"584" 100 100 100 86 31 18 4
"585" 100 100 100 96 52 45 37
"586" 100 100 100 89 19 19 6
"587" 100 100 100 96 81 81 75
"588" 100 100 100 100 100 100 91
"589" 100 100 100 94 81 69 23
"590" 100 100 100 100 100 100 100
"591" 100 100 100 86 86 45 12
"592" 100 100 100 97 83 83 64
"593" 100 100 100 94 89 23 23
"594" 100 100 100 100 93 89 24
"595" 100 100 100 99 81 81 26
"596" 100 100 100 76 39 13 9
"597" 100 100 100 92 45 13 5
"598" 100 100 100 95 89 89 77
"599" 100 100 100 97 90 83 36
"600" 100 100 100 77 76 33 12
"601" 100 100 100 100 100 100 100
"602" 100 100 100 86 34 34 27
"603" 100 100 100 92 37 37 14
"604" 100 100 100 84 84 28 22
"605" 100 100 100 99 86 22 18
"606" 100 100 100 96 75 75 26
"607" 100 100 100 98 85 85 80
"608" 100 100 100 91 43 29 10
"609" 100 100 100 91 67 59 11
"610" 100 100 100 98 93 93 65
"611" 100 100 100 71 69 33 22
"612" 100 100 100 95 82 79 50
"613" 100 100 100 99 88 41 12
"614" 100 100 100 98 73 71 22
"615" 100 100 100 62 12 5 2
"616" 100 100 100 87 33 17 9
"617" 100 100 100 87 38 21 11
"618" 100 100 100 79 79 29 27
"619" 100 100 100 59 24 13 11
"620" 100 100 100 94 20 20 19
"621" 100 100 100 86 50 50 39
"622" 100 100 100 94 65 59 22
"623" 100 100 100 86 22 8 3
"624" 100 100 100 99 83 83 29
"625" 100 100 100 93 86 40 17
"626" 100 100 100 97 88 86 48
"627" 100 100 100 100 100 94 46
"628" 100 100 100 98 66 65 28
"629" 100 100 100 100 99 80 62
"630" 100 100 100 60 59 21 4
"631" 100 100 100 83 82 19 5
"632" 100 100 100 60 13 13 9
"633" 100 100 100 95 88 88 48
"634" 100 100 100 97 91 61 19
"635" 100 100 100 89 15 15 4
"636" 100 100 100 100 100 100 42
