"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
160 656 655 2 0.96829 0.96829 0.96829 0.32
215 657 655 2 0.93699 0.93699 0.93699 0.375
227 659 658 41 0.92683 1 0.88493 0.005
157 699 658 43 0.98093 1 0.92927 0.31
188 746 745 4 0.95549 1 0.95095 0.66
204 760 759 27 0.94634 0.99756 0.91707 0.03
166 789 788 10 0.96575 1 0.95205 0.19
71 798 788 3 0.99726 1 0.99726 1
125 801 800 20 0.98219 1 0.93836 0.15
80 836 835 2 0.99512 0.99512 0.99512 0.775
99 838 837 6 0.99024 0.99756 0.98049 0.13
178 852 851 2 0.96027 0.96027 0.96027 0.135
153 854 853 6 0.9726 1 0.96027 0.09
123 859 853 9 0.982875 1 0.96575 0.185
258 878 877 4 0.91463 1 0.90732 0.395
56 881 877 2 1 1 1 1
265 885 884 5 0.90921 0.94211 0.89868 1
56 890 889 2 1 1 1 1
246 891 889 12 0.92262 1 0.89863 0.16
176 909 908 20 0.96098 0.99756 0.88293 0.125
239 928 908 10 0.92683 0.99756 0.87561 0.745
296 940 939 6 0.8878 0.9439 0.83659 0.115
293 945 939 3 0.89024 0.90244 0.89024 0.13
160 950 949 6 0.96829 0.99756 0.87561 0.6
279 955 949 2 0.9 0.9 0.9 0.97
274 957 956 7 0.9 0.99268 0.86098 0.07
265 963 956 19 0.90976 0.99756 0.83902 0.025
184 499 498 54 0.95753 1 0.93171 0.305
148 552 498 52 0.97561 1 0.94878 0.65
168 604 603 48 0.96943 1 0.89756 0
69 653 652 2 0.99756 0.99756 0.99756 0.965
216 655 654 4 0.94024 0.96829 0.93659 0.05
228 658 654 84 0.93171 1 0.87918 0
197 745 744 5 0.95095 1 0.9346 0.88
229 756 755 2 0.92683 0.92683 0.92683 0.085
205 759 758 28 0.94634 0.99756 0.91707 0.01
172 786 758 2 0.96301 0.96301 0.96301 0.465
178 788 787 13 0.96027 1 0.95205 0.36
130 800 787 21 0.98049 1 0.92439 0.075
69 831 830 2 0.99756 0.99756 0.99756 0.97
121 832 830 2 0.98293 0.98293 0.98293 0.46
82 835 834 3 0.99512 0.99512 0.99024 0.995
100 837 834 7 0.99268 0.99756 0.98049 0.99
183 851 850 3 0.95479 0.96027 0.95342 0.01
160 853 850 15 0.96849 1 0.95068 0.09
267 877 876 6 0.90822 1 0.88537 0.35
298 882 876 2 0.87808 0.87808 0.87808 0.76
267 884 883 6 0.90395 0.94211 0.87073 0.485
251 889 883 14 0.91918 1 0.89726 0.965
289 908 907 30 0.89268 0.99756 0.8439 0.295
297 939 938 9 0.88415 0.9439 0.83659 0.075
187 947 938 2 0.9561 0.9561 0.9561 0.945
309 949 948 8 0.87805 0.99756 0.82195 0.095
276 956 948 26 0.90244 0.99756 0.83415 0.095
186 498 497 106 0.9561 1 0.9122 0.32
169 603 497 49 0.96585 1 0.89756 0.005
99 652 651 3 0.99024 0.99756 0.9878 0.92
229 654 651 88 0.93171 1 0.87918 0.02
214 744 743 6 0.94146 1 0.91008 0.225
235 749 743 2 0.92439 0.92439 0.92439 0.07
202 751 750 2 0.94795 0.94795 0.94795 0.94
207 752 750 2 0.94521 0.94521 0.94521 0.475
230 755 754 3 0.92683 0.93562 0.92683 0.035
210 758 757 30 0.9439 0.99756 0.91463 0.02
201 787 757 34 0.94878 1 0.91644 0.15
179 824 823 2 0.95854 0.95854 0.95854 0.655
122 830 829 4 0.98293 0.99756 0.98049 0.235
123 834 833 10 0.98293 0.99756 0.94634 0.635
184 850 849 18 0.96575 1 0.94932 0.11
299 876 875 8 0.88537 1 0.83902 0.17
268 883 875 20 0.90777 1 0.83562 0.38
292 907 906 31 0.89024 0.99756 0.8439 0.13
299 938 937 11 0.88537 0.9561 0.82683 0.135
311 948 937 34 0.87561 0.99756 0.79512 0
214 497 496 155 0.94146 1 0.88828 0
231 651 496 91 0.93171 1 0.87918 0.015
236 743 742 8 0.92805 1 0.87466 0
240 750 742 4 0.919865 0.94795 0.9 0.06
231 754 753 4 0.931225 0.9411 0.91707 0.085
227 757 753 64 0.93415 1 0.9 0.085
180 823 822 3 0.95854 0.97073 0.9561 0.56
136 825 822 2 0.97805 0.97805 0.97805 0.92
123 829 828 5 0.98415 0.99756 0.98049 1
181 833 828 11 0.95854 0.99756 0.93171 0.625
185 849 848 19 0.96575 1 0.94932 0.235
56 871 870 2 1 1 1 0.315
253 874 873 2 0.91781 0.91781 0.91781 0.885
305 875 873 28 0.88049 1 0.81644 0.105
296 906 905 32 0.8878 0.99756 0.82439 0.12
318 937 905 45 0.87073 0.99756 0.78293 0.055
234 496 495 246 0.92927 1 0.86172 0
241 742 741 12 0.92195 1 0.87466 0.03
232 753 741 68 0.93171 1 0.89512 0.095
182 822 821 5 0.95854 0.97805 0.94146 0.85
241 827 826 2 0.91644 0.91644 0.91644 0.905
218 828 826 16 0.93902 0.99756 0.90488 0.295
64 846 845 2 0.99863 0.99863 0.99863 1
186 848 847 20 0.96438 1 0.94795 0.54
57 870 869 3 1 1 1 1
306 873 872 30 0.87945 1 0.81644 0.195
269 904 903 2 0.90732 0.90732 0.90732 0.28
319 905 903 77 0.86585 0.99756 0.78293 0.02
235 495 494 247 0.92927 1 0.86172 0
242 741 494 80 0.92683 1 0.87045 0
196 821 820 6 0.95122 0.97805 0.9122 0.625
242 826 820 18 0.92683 0.99756 0.88537 0.465
209 845 844 3 0.93973 0.99863 0.93836 0.815
187 847 844 21 0.96301 1 0.92877 0.535
218 869 868 4 0.939025 1 0.87805 0.475
312 872 868 31 0.87534 1 0.81644 0.385
320 903 902 79 0.86585 0.99756 0.78293 0.035
250 494 493 327 0.91994 1 0.85342 0.16
247 820 493 24 0.92195 0.99756 0.88537 0.66
210 844 843 24 0.9589 1 0.91096 0.82
320 868 867 35 0.86849 1 0.77945 0.175
321 902 867 80 0.86585 0.99756 0.78293 0.065
254 493 492 351 0.91707 1 0.83261 0.45
211 843 492 25 0.95753 1 0.89863 0.495
322 867 492 115 0.85366 1 0.77317 0.575
323 492 0 491 0.89268 1 0.76849 NA
