"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"134" "A9" "E-027" "30" "30" "7" "P02" "16" "240" "267" "16.0000" " 1.25560853" "2.600879" "-0.84760602" " 2.346629" "1"
"135" "A2" "E-045" "30" "30" "7" "P02" "18" "245" "376" "15.0000" " 8.48705219" "3.041705" " 0.12985724" " 3.672594" "1"
"136" "A9" "J-077" "30" "30" "7" "P02" "20" "290" "159" "13.0000" " 9.22054820" "3.202805" "-0.09124373" " 3.385795" "1"
"137" "A9" "J-088" "30" "30" "7" "P02" "22" "289" "269" "15.0400" " 0.14875872" "2.459863" "-0.52726365" " 2.131408" "1"
"138" "Neg" "0" "30" "30" "7" "P02" "24" "294" "376" "15.0400" "-0.05397490" "2.055185" "-0.12982357" " 2.115790" "1"
"139" "A9" "J-030" "30" "30" "7" "P02" "26" "340" "151" "15.0400" " 0.36129707" "2.416354" "-0.16834887" " 2.281187" "1"
"140" "A9" "J-048" "30" "30" "7" "P02" "28" "351" "259" "17.0000" " 3.31162042" "3.734226" "-0.55324113" " 2.320707" "1"
"141" "A9" "J-064" "30" "30" "7" "P02" "30" "358" "363" "14.0000" " 4.96796085" "2.749807" "-0.67159266" " 2.937436" "1"
"142" "A6" "E-063" "30" "30" "7" "P02" "32" "408" "163" "15.0400" " 1.05776848" "2.364766" "-0.18272636" " 2.369129" "1"
"143" "A9" "J-008" "30" "30" "7" "P02" "34" "409" "272" "15.0000" " 4.97681241" "3.252449" "-0.51272908" " 2.595138" "1"
"144" "A9" "J-026" "30" "30" "7" "P02" "36" "406" "379" "15.0400" " 1.71022355" "3.783576" "-0.83974255" " 3.622459" "1"
"145" "A10" "J-083" "20" "20" "7" "P03" " 1" "112" "117" "18.00000" " 3.16746283" "2.889745" "-0.465036873" "2.431575" "1"
"146" "A6" "J-092" "20" "20" "7" "P03" " 3" "116" "229" "17.00000" " 1.00996670" "2.582882" "-0.730957447" "2.460396" "1"
"147" "Neg" "0" "20" "20" "7" "P03" " 5" "118" "333" "15.61538" "-0.08438896" "2.220519" "-0.389587838" "2.412889" "1"
"148" "A10" "E-061-B" "20" "20" "7" "P03" " 7" "177" "108" "15.00000" "13.57078984" "3.495751" "-0.141500664" "3.616379" "1"
"149" "A9" "J-002" "20" "20" "7" "P03" " 9" "179" "220" "15.00000" " 6.19912553" "3.366202" "-0.266281541" "2.795465" "1"
"150" "A9" "J-019" "20" "20" "7" "P03" "11" "179" "332" "15.00000" " 6.88722144" "2.965453" "-0.397184595" "2.672105" "1"
"151" "A6" "J-031" "20" "20" "7" "P03" "13" "229" "113" "17.00000" " 0.92931188" "2.244059" "-0.723524823" "2.324564" "1"
"152" "A6" "J-050" "20" "20" "7" "P03" "15" "233" "223" "15.61538" " 0.24971091" "2.177350" "-0.180206081" "2.225594" "1"
"153" "A6" "J-065" "20" "20" "7" "P03" "17" "236" "332" "15.61538" " 0.32998686" "2.275177" "-0.169155405" "2.302060" "1"
"154" "A9" "E-046" "20" "20" "7" "P03" "19" "294" "119" "16.00000" " 4.16549561" "3.327236" "-0.187838577" "3.149012" "1"
"155" "A9" "E-065" "20" "20" "7" "P03" "21" "290" "227" "14.00000" " 2.31088091" "2.792657" "-0.477329472" "2.553784" "1"
"156" "A9" "J-010" "20" "20" "7" "P03" "23" "293" "337" "13.00000" " 9.70500945" "3.457585" " 0.053703008" "4.167204" "1"
"157" "A9" "E-011" "20" "20" "7" "P03" "25" "335" " 98" "17.00000" " 6.42823529" "3.509749" "-0.348042553" "2.604630" "1"
"158" "A9" "E-026" "20" "20" "7" "P03" "27" "346" "206" "17.00000" " 6.37896781" "4.752775" "-0.696258865" "2.460597" "1"
"159" "A10" "E-042" "20" "20" "7" "P03" "29" "358" "320" "16.00000" " 1.57764115" "3.578853" "-0.950950752" "2.606722" "1"
"160" "A9" "J-036" "20" "20" "7" "P03" "31" "407" "102" "17.00000" " 6.83413984" "3.032128" " 0.428654611" "4.558126" "1"
"161" "A10" "J-054" "20" "20" "7" "P03" "33" "408" "213" "17.00000" " 2.83598224" "3.010819" "-0.507117021" "2.444231" "1"
"162" "A1" "J-068" "20" "20" "7" "P03" "35" "416" "327" "17.00000" " 2.89068812" "3.067004" "-0.805968085" "2.740279" "1"
"163" "A10" "J-083" "30" "20" "7" "P03" " 2" "115" "172" "15.00000" " 1.66259520" "2.416790" "-0.459611554" "2.606742" "1"
"164" "A6" "J-092" "30" "20" "7" "P03" " 4" "118" "284" "15.61538" " 0.46187911" "2.628865" "-0.845716216" "2.524668" "1"
"165" "Neg" "0" "30" "20" "7" "P03" " 6" "121" "381" "15.61538" "-0.47253614" "2.552755" "-0.320422297" "2.443654" "1"
"166" "A10" "E-061-B" "30" "20" "7" "P03" " 8" "178" "162" "14.00000" "10.59618271" "3.032519" " 0.352892535" "3.801330" "1"
"167" "A9" "J-002" "30" "20" "7" "P03" "10" "179" "278" "14.00000" " 7.18921697" "3.314790" "-0.099221364" "3.695497" "1"
"168" "A9" "J-019" "30" "20" "7" "P03" "12" "180" "387" "15.00000" " 8.26889986" "3.670140" "-0.300697211" "3.862538" "1"
"169" "A6" "J-031" "30" "20" "7" "P03" "14" "233" "169" "15.61538" " 0.40093298" "1.998349" "-0.174158784" "2.200985" "1"
"170" "A6" "J-050" "30" "20" "7" "P03" "16" "236" "277" "15.61538" " 0.03739816" "2.224231" "-0.175148649" "2.238205" "1"
"171" "A6" "J-065" "30" "20" "7" "P03" "18" "237" "387" "15.61538" " 0.15985545" "2.289789" " 0.092959459" "2.442200" "1"
"172" "A9" "E-046" "30" "20" "7" "P03" "20" "291" "171" "15.00000" "10.75568406" "5.842401" " 0.434375830" "4.863038" "1"
"173" "A9" "E-065" "30" "20" "7" "P03" "22" "293" "286" "15.00000" " 1.67966150" "2.654458" "-0.720571049" "2.346298" "1"
"174" "A9" "J-010" "30" "20" "7" "P03" "24" "296" "399" "15.00000" "11.01485190" "4.642887" "-0.475116202" "3.478745" "1"
