"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"J-022_20_20" "A6" "J-022" "20" "20" "SBL" "SBL-01" "FAGR" "30" "364" 2.02879972655302 0.0846380285433287
"J-037_30_20" "B" "J-037" "30" "20" "SBL" "SBL-01" "FAGR" "30" "399" 13.338212277686 0.119915291837846
"J-070_30_20" "A9" "J-070" "30" "20" "SBL" "SBL-04" "FAGR" "30" "307" 10.0690543645519 0.0576924852076468
"J-015_30_20" "A6" "J-015" "30" "20" "MSH" "MSH-01" "FAGR" "20" "427" 7.89900075766865 0.0718375322370926
"E-062_30_20" "A9" "E-062" "30" "20" "SBL" "SBL-03" "ACSA" "20" "307" 13.4584100131985 0.0716392932926995
"J-005_30_20" "A6" "J-005" "30" "20" "SBL" "SBL-01" "FAGR" "20" "364" 1.1908667182589 0.0978538689462704
"J-037_20_30" "B" "J-037" "20" "30" "SBL" "SBL-01" "FAGR" "30" "399" 11.1545260998776 0.118891361829215
"J-056_20_30" "A1" "J-056" "20" "30" "MSH" "MSH-01" "FAGR" "30" "354" 1.47537054899088 0.102601354748288
"J-070_20_30" "A9" "J-070" "20" "30" "SBL" "SBL-04" "FAGR" "30" "307" 12.9566701879331 0.0513234258592055
"J-015_20_30" "A6" "J-015" "20" "30" "MSH" "MSH-01" "FAGR" "20" "427" 3.79178475232176 0.109917408059584
"J-005_20_30" "A6" "J-005" "20" "30" "SBL" "SBL-01" "FAGR" "20" "364" 2.81533691357617 0.0934838048656451
"J-022_20_30" "A6" "J-022" "20" "30" "SBL" "SBL-01" "FAGR" "30" "364" 1.62084178680306 0.0925941358281897
"E-016_30_30" "A6" "E-016" "30" "30" "MSH" "MSH-01" "ACSA" "20" "314" 8.35139562234115 0.0446749672755865
"J-037_30_30" "B" "J-037" "30" "30" "SBL" "SBL-01" "FAGR" "30" "399" 11.7359990467745 0.121403718353086
"J-015_30_30" "A6" "J-015" "30" "30" "MSH" "MSH-01" "FAGR" "20" "427" 4.93251009101336 0.129409633253099
"J-005_30_30" "A6" "J-005" "30" "30" "SBL" "SBL-01" "FAGR" "20" "364" 1.54914504433691 0.0836944749929278
"E-061-R_20_20" "A10" "E-061-R" "20" "20" "MSH" "MSH-01" "FAGR" "30" "386" 11.7949387173029 0.0727328797710951
"E-061-R_30_20" "A10" "E-061-R" "30" "20" "MSH" "MSH-01" "FAGR" "30" "386" 10.2655271410445 0.0760160302604613
"E-061-R_20_30" "A10" "E-061-R" "20" "30" "MSH" "MSH-01" "FAGR" "30" "386" 8.71973419134734 0.0887454761993507
"E-061-R_30_30" "A10" "E-061-R" "30" "30" "MSH" "MSH-01" "FAGR" "30" "386" 6.06097348531903 0.0976063030246241
"J-070_20_20" "A9" "J-070" "20" "20" "SBL" "SBL-04" "FAGR" "30" "307" 10.904038942401 0.051062091503268
"J-070_30_30" "A9" "J-070" "30" "30" "SBL" "SBL-04" "FAGR" "30" "307" 13.4494516536096 0.0709873092437899
"J-030_20_20" "A9" "J-030" "20" "20" "SBL" "SBL-04" "FAGR" "20" "364" 2.47021938731335 0.073883209117188
"J-048_20_20" "A9" "J-048" "20" "20" "SBL" "SBL-01" "FAGR" "30" "333" 9.31669798695862 0.0769840719955041
"J-064_20_20" "A9" "J-064" "20" "20" "SBL" "SBL-03" "ACSA" "20" "333" 4.1016328548421 0.0585920906536827
"J-048_30_20" "A9" "J-048" "30" "20" "SBL" "SBL-01" "FAGR" "30" "333" 7.8002046268061 0.07028456463105
"J-064_30_20" "A9" "J-064" "30" "20" "SBL" "SBL-03" "ACSA" "20" "333" 4.05172212533531 0.0635692547299499
"E-062_20_30" "A9" "E-062" "20" "30" "SBL" "SBL-03" "ACSA" "20" "307" 9.17107344528439 0.0751385366769982
"E-062_30_30" "A9" "E-062" "30" "30" "SBL" "SBL-03" "ACSA" "20" "307" 11.3937601318635 0.0880210018110321
